,Movie,Box Office,Release Date_x,Award_date,Win or Nominated,Release Year,Release Month
341,The Tempest,277515.0,2010-12-10,2011-02-27,N,2010.0,12.0
342,Exit Through the Gift Shop,3288699.0,2010-01-24,2011-02-27,N,2010.0,1.0
343,Inside Job,4311834.0,2010-10-08,2011-02-27,W,2010.0,10.0
344,Restrepo,1330894.0,2010-06-25,2011-02-27,N,2010.0,6.0
345,Waste Land,100000.0,2010-01-24,2011-02-27,N,2010.0,1.0
348,Incendies,6857096.0,2010-09-04,2011-02-27,N,2010.0,9.0
349,Barney's Version,7501404.0,2010-10-26,2011-02-27,N,2010.0,10.0
351,The Wolfman,61937495.0,2010-02-11,2011-02-27,W,2010.0,2.0
353,The Gruffalo,0.0,2009-12-25,2010-03-07,N,2009.0,12.0
354,The Lost Thing,0.0,2010-06-03,2011-02-27,W,2010.0,6.0
356,Na Wewe,0.0,2010-04-25,2011-02-27,N,2010.0,4.0
357,Wish 143,0.0,2009-11-19,2010-03-07,N,2009.0,11.0
358,TRON: Legacy,172051787.0,2010-12-10,2011-02-27,N,2010.0,12.0
359,Unstoppable,81557479.0,2010-11-04,2011-02-27,N,2010.0,11.0
360,Salt,118311368.0,2010-07-21,2011-02-27,N,2010.0,7.0
361,Hereafter,32741596.0,2010-10-22,2011-02-27,N,2010.0,10.0
362,Iron Man 2,312057433.0,2010-04-28,2011-02-27,N,2010.0,4.0
363,Another Year,3200000.0,2010-11-05,2011-02-27,N,2010.0,11.0
365,Hearts of Darkness: A Filmmaker's Apocalypse,0.0,1991-09-06,2005-02-27,W,1991.0,9.0
369,Kung Fu Panda 2,165230261.0,2011-05-25,2012-02-26,N,2011.0,5.0
370,Puss in Boots,149234747.0,2011-10-28,2012-02-26,N,2011.0,10.0
371,Harry Potter and the Deathly Hallows: Part 2,381000185.0,2011-07-07,2012-02-26,N,2011.0,7.0
372,Hugo,73820094.0,2011-11-22,2012-02-26,W,2011.0,11.0
373,Midnight in Paris,55400000.0,2011-05-11,2012-02-26,W,2011.0,5.0
374,War Horse,79883359.0,2011-12-25,2012-02-26,N,2011.0,12.0
375,The Tree of Life,13303319.0,2011-05-18,2012-02-26,N,2011.0,5.0
376,Anonymous,4463292.0,2011-10-21,2012-02-26,N,2011.0,10.0
377,Jane Eyre,0.0,2011-03-11,2012-02-26,N,2011.0,3.0
378,W.E.,582075.0,2011-09-01,2012-02-26,N,2011.0,9.0
379,Hell and Back Again,37539.0,2011-10-04,2012-02-26,N,2011.0,10.0
