Award,Winner,Film
Short Film (Animated),,Emud Mokhberi and Thierry Marchand
Short Film (Animated),,Doug Sweetland
Short Film (Animated),,Alan Smith and Adam Foulkes
Short Film (Live Action),,Reto Caffi
Short Film (Live Action),,Elizabeth Marre and Olivier Pont
Short Film (Live Action),,Steph Green and Tamara Anghie
Short Film (Live Action),,Tivi Magnusson and Dorte Høgh
Sound Editing,,Frank Eulner and Christopher Boyes
Sound Editing,,Glenn Freemantle and Tom Sayers
Sound Editing,,Ben Burtt and Matthew Wood
Sound Editing,,Wylie Stateman
Sound Mixing,,"David Parker, Michael Semanick, Ren Klyce and Mark Weingarten"
Sound Mixing,,"Lora Hirschberg, Gary Rizzo and Ed Novick"
Sound Mixing,,"Tom Myers, Michael Semanick and Ben Burtt"
Sound Mixing,,"Chris Jenkins, Frank A. Montaño and Petr Forejt"
Visual Effects,,"Nick Davis, Chris Corbould, Tim Webber and Paul Franklin"
Visual Effects,,"John Nelson, Ben Snow, Dan Sudick and Shane Mahan"
Writing (Adapted Screenplay),,Screenplay by Eric Roth; Screen Story by Eric Roth and Robin Swicord
Writing (Adapted Screenplay),,Written by John Patrick Shanley
Writing (Adapted Screenplay),,Screenplay by Peter Morgan
Writing (Adapted Screenplay),,Screenplay by David Hare
Writing (Original Screenplay),,Written by Courtney Hunt
Writing (Original Screenplay),,Written by Mike Leigh
Writing (Original Screenplay),,Written by Martin McDonagh
Writing (Original Screenplay),,"Screenplay by Andrew Stanton, Jim Reardon; Original Story by Andrew Stanton, Pete Docter"
Actor in a Leading Role,,Up in the Air
Actor in a Leading Role,,A Single Man
Actor in a Leading Role,,Invictus
Actor in a Leading Role,,The Hurt Locker
Actor in a Supporting Role,,Invictus
Actor in a Supporting Role,,The Messenger
Actor in a Supporting Role,,The Last Station
Actor in a Supporting Role,,The Lovely Bones
Actress in a Leading Role,,The Last Station
Actress in a Leading Role,,An Education
Actress in a Leading Role,,Precious: Based on the Novel 'Push' by Sapphire
Actress in a Leading Role,,Julie & Julia
Actress in a Supporting Role,,Nine
Actress in a Supporting Role,,Up in the Air
Actress in a Supporting Role,,Crazy Heart
Actress in a Supporting Role,,Up in the Air
Animated Feature Film,,Henry Selick
Animated Feature Film,,Wes Anderson
Animated Feature Film,,John Musker and Ron Clements
Animated Feature Film,,Tomm Moore
Art Direction,,Production Design: Dave Warren and Anastasia Masaro; Set Decoration: Caroline Smith
Art Direction,,Production Design: John Myhre; Set Decoration: Gordon Sim
Art Direction,,Production Design: Sarah Greenwood; Set Decoration: Katie Spencer
Art Direction,,Production Design: Patrice Vermette; Set Decoration: Maggie Gray
Cinematography,,Bruno Delbonnel
Cinematography,,Barry Ackroyd
Cinematography,,Robert Richardson
Cinematography,,Christian Berger
Costume Design,,Janet Patterson
Costume Design,,Catherine Leterrier
Costume Design,,Monique Prudhomme
Costume Design,,Colleen Atwood
Directing,,James Cameron
Directing,,Quentin Tarantino
Directing,,Lee Daniels
Directing,,Jason Reitman
Documentary (Feature),,Anders Østergaard and Lise Lense-Møller
Documentary (Feature),,Robert Kenner and Elise Pearlstein
Documentary (Feature),,Judith Ehrlich and Rick Goldsmith
Documentary (Feature),,Rebecca Cammisa
Documentary (Short Subject),,Jon Alpert and Matthew O'Neill
Documentary (Short Subject),,Daniel Junge and Henry Ansbacher
Documentary (Short Subject),,Steven Bognar and Julia Reichert
Documentary (Short Subject),,Bartek Konopka and Anna Wydra
Film Editing,,"Stephen Rivkin, John Refoua and James Cameron"
Film Editing,,Julian Clarke
Film Editing,,Sally Menke
Film Editing,,Joe Klotz
Foreign Language Film,,Israel
Foreign Language Film,,Peru
Foreign Language Film,,France
Foreign Language Film,,Germany
Makeup,,Aldo Signoretti and Vittorio Sodano
Makeup,,Jon Henry Gordon and Jenny Shircore
Music (Original Score),,James Horner
Music (Original Score),,Alexandre Desplat
Music (Original Score),,Marco Beltrami and Buck Sanders
Music (Original Score),,Hans Zimmer
Music (Original Song),,Music and Lyric by Randy Newman
Music (Original Song),,Music and Lyric by Randy Newman
Music (Original Song),,Music by Reinhardt Wagner; Lyric by Frank Thomas
Music (Original Song),,Music and Lyric by Maury Yeston
Best Picture,,"James Cameron and Jon Landau, Producers"
Best Picture,,"Gil Netter, Andrew A. Kosove and Broderick Johnson, Producers"
Best Picture,,"Peter Jackson and Carolynne Cunningham, Producers"
Best Picture,,"Finola Dwyer and Amanda Posey, Producers"
Best Picture,,"Lawrence Bender, Producer"
Best Picture,,"Lee Daniels, Sarah Siegel-Magness and Gary Magness, Producers"
Best Picture,,"Joel Coen and Ethan Coen, Producers"
Best Picture,,"Jonas Rivera, Producer"
Best Picture,,"Daniel Dubiecki, Ivan Reitman and Jason Reitman, Producers"
Short Film (Animated),,Fabrice O. Joubert
Short Film (Animated),,Nicky Phelan and Darragh O'Connell
Short Film (Animated),,Javier Recio Gracia
Short Film (Animated),,Nick Park
Short Film (Live Action),,Juanita Wilson and James Flynn
Short Film (Live Action),,Patrik Eklund and Mathias Fjellström
Short Film (Live Action),,Gregg Helvey
Short Film (Live Action),,Luke Doolan and Drew Bailey
Sound Editing,,Christopher Boyes and Gwendolyn Yates Whittle
Sound Editing,,Wylie Stateman
Sound Editing,,Mark Stoeckinger and Alan Rankin
Sound Editing,,Michael Silvers and Tom Myers
Sound Mixing,,"Christopher Boyes, Gary Summers, Andy Nelson and Tony Johnson"
Sound Mixing,,"Michael Minkler, Tony Lamberti and Mark Ulano"
Sound Mixing,,"Anna Behlmer, Andy Nelson and Peter J. Devlin"
Sound Mixing,,"Greg P. Russell, Gary Summers and Geoffrey Patterson"
Visual Effects,,"Dan Kaufman, Peter Muyzers, Robert Habros and Matt Aitken"
Visual Effects,,"Roger Guyett, Russell Earl, Paul Kavanagh and Burt Dalton"
Writing (Adapted Screenplay),,Written by Neill Blomkamp and Terri Tatchell
Writing (Adapted Screenplay),,Screenplay by Nick Hornby
Writing (Adapted Screenplay),,"Screenplay by Jesse Armstrong, Simon Blackwell, Armando Iannucci, Tony Roche"
Writing (Adapted Screenplay),,Screenplay by Jason Reitman and Sheldon Turner
Writing (Original Screenplay),,Written by Quentin Tarantino
Writing (Original Screenplay),,Written by Alessandro Camon & Oren Moverman
Writing (Original Screenplay),,Written by Joel Coen & Ethan Coen
Writing (Original Screenplay),,"Screenplay by Bob Peterson, Pete Docter; Story by Pete Docter, Bob Peterson, Tom McCarthy"
Actor in a Leading Role,,Biutiful
Actor in a Leading Role,,True Grit
Actor in a Leading Role,,The Social Network
Actor in a Leading Role,,127 Hours
Actor in a Supporting Role,,Winter's Bone
Actor in a Supporting Role,,The Town
Actor in a Supporting Role,,The Kids Are All Right
Actor in a Supporting Role,,The King's Speech
Actress in a Leading Role,,The Kids Are All Right
Actress in a Leading Role,,Rabbit Hole
Actress in a Leading Role,,Winter's Bone
Actress in a Leading Role,,Blue Valentine
Actress in a Supporting Role,,The Fighter
Actress in a Supporting Role,,The King's Speech
Actress in a Supporting Role,,True Grit
Actress in a Supporting Role,,Animal Kingdom
Animated Feature Film,,Chris Sanders and Dean DeBlois
Animated Feature Film,,Sylvain Chomet
Art Direction,,Production Design: Stuart Craig; Set Decoration: Stephenie McMillan
Art Direction,,Production Design: Guy Hendrix Dyas; Set Decoration: Larry Dias and Doug Mowat
Art Direction,,Production Design: Eve Stewart; Set Decoration: Judy Farr
Art Direction,,Production Design: Jess Gonchor; Set Decoration: Nancy Haigh
Cinematography,,Matthew Libatique
Cinematography,,Danny Cohen
Cinematography,,Jeff Cronenweth
Cinematography,,Roger Deakins
Costume Design,,Antonella Cannarozzi
Costume Design,,Jenny Beavan
Costume Design,,Sandy Powell
Costume Design,,Mary Zophres
Directing,,Darren Aronofsky
Directing,,David O. Russell
Directing,,David Fincher
Directing,,Joel Coen and Ethan Coen
Documentary (Feature),,Banksy and Jaimie D'Cruz
Documentary (Feature),,Josh Fox and Trish Adlesic
Documentary (Feature),,Tim Hetherington and Sebastian Junger
Documentary (Feature),,Lucy Walker and Angus Aynsley
Documentary (Short Subject),,Jed Rothstein
Documentary (Short Subject),,Sara Nesson and Mitchell W. Block
Documentary (Short Subject),,Jennifer Redfearn and Tim Metzger
Documentary (Short Subject),,Ruby Yang and Thomas Lennon
Film Editing,,Andrew Weisblum
Film Editing,,Pamela Martin
Film Editing,,Tariq Anwar
Film Editing,,Jon Harris
Foreign Language Film,,Mexico
Foreign Language Film,,Greece
Foreign Language Film,,Canada
Foreign Language Film,,Algeria
Makeup,,Adrien Morot
Makeup,,"Edouard F. Henriques, Gregory Funk and Yolanda Toussieng"
Music (Original Score),,John Powell
Music (Original Score),,Hans Zimmer
Music (Original Score),,Alexandre Desplat
Music (Original Score),,A.R. Rahman
Music (Original Song),,"Music and Lyric by Tom Douglas, Troy Verges and Hillary Lindsey"
Music (Original Song),,Music by Alan Menken; Lyric by Glenn Slater
Music (Original Song),,Music by A.R. Rahman; Lyric by Dido and Rollo Armstrong
Best Picture,,"Mike Medavoy, Brian Oliver and Scott Franklin, Producers"
Best Picture,,"David Hoberman, Todd Lieberman and Mark Wahlberg, Producers"
Best Picture,,"Emma Thomas and Christopher Nolan, Producers"
Best Picture,,"Gary Gilbert, Jeffrey Levy-Hinte and Celine Rattray, Producers"
Best Picture,,"Christian Colson, Danny Boyle and John Smithson, Producers"
Best Picture,,"Scott Rudin, Dana Brunetti, Michael De Luca and Ceán Chaffin, Producers"
Best Picture,,"Darla K. Anderson, Producer"
Best Picture,,"Scott Rudin, Ethan Coen and Joel Coen, Producers"
