Award,Winner,Film
Short Film (Animated),1.0,Suzie Templeton and Hugh Welchman
Short Film (Live Action),,Christian E. Christiansen and Louise Vesth
Short Film (Live Action),,Andrea Jublin
Short Film (Live Action),1.0,Philippe Pollet-Villard
Short Film (Live Action),,Guido Thys and Anja Daelemans
Short Film (Live Action),,Daniel Barber and Matthew Brown
Sound Editing,1.0,Karen Baker Landers and Per Hallberg
Sound Editing,,Skip Lievsay
Sound Editing,,Randy Thom and Michael Silvers
Sound Editing,,Christopher Scarabosio and Matthew Wood
Sound Editing,,Ethan Van der Ryn and Mike Hopkins
Sound Mixing,1.0,"Scott Millan, David Parker and Kirk Francis"
Sound Mixing,,"Skip Lievsay, Craig Berkey, Greg Orloff and Peter Kurland"
Sound Mixing,,"Randy Thom, Michael Semanick and Doc Kane"
Sound Mixing,,"Paul Massey, David Giammarco and Jim Stuebe"
Sound Mixing,,"Kevin O'Connell, Greg P. Russell and Peter J. Devlin"
Visual Effects,1.0,"Michael Fink, Bill Westenhofer, Ben Morris and Trevor Wood"
Visual Effects,,"John Knoll, Hal Hickel, Charles Gibson and John Frazier"
Visual Effects,,"Scott Farrar, Scott Benza, Russell Earl and John Frazier"
Writing (Adapted Screenplay),,Screenplay by Christopher Hampton
Writing (Adapted Screenplay),,Written by Sarah Polley
Writing (Adapted Screenplay),,Screenplay by Ronald Harwood
Writing (Adapted Screenplay),1.0,Written for the screen by Joel Coen & Ethan Coen
Writing (Adapted Screenplay),,Written for the Screen by Paul Thomas Anderson
Writing (Original Screenplay),1.0,Written by Diablo Cody
Writing (Original Screenplay),,Written by Nancy Oliver
Writing (Original Screenplay),,Written by Tony Gilroy
Writing (Original Screenplay),,"Screenplay by Brad Bird; Story by Jan Pinkava, Jim Capobianco, Brad Bird"
Writing (Original Screenplay),,Written by Tamara Jenkins
Honorary Award,1.0,
Gordon E. Sawyer Award,1.0,
Award of Commendation,1.0,
John A. Bonner Medal of Commendation,1.0,
Actor in a Leading Role,,The Visitor
Actor in a Leading Role,,Frost/Nixon
Actor in a Leading Role,1.0,Milk
Actor in a Leading Role,,The Curious Case of Benjamin Button
Actor in a Leading Role,,The Wrestler
Actor in a Supporting Role,,Milk
Actor in a Supporting Role,,Tropic Thunder
Actor in a Supporting Role,,Doubt
Actor in a Supporting Role,1.0,The Dark Knight
Actor in a Supporting Role,,Revolutionary Road
Actress in a Leading Role,,Rachel Getting Married
Actress in a Leading Role,,Changeling
Actress in a Leading Role,,Frozen River
Actress in a Leading Role,,Doubt
Actress in a Leading Role,1.0,The Reader
Actress in a Supporting Role,,Doubt
Actress in a Supporting Role,1.0,Vicky Cristina Barcelona
Actress in a Supporting Role,,Doubt
Actress in a Supporting Role,,The Curious Case of Benjamin Button
Actress in a Supporting Role,,The Wrestler
Animated Feature Film,,Chris Williams and Byron Howard
Animated Feature Film,,John Stevenson and Mark Osborne
Animated Feature Film,1.0,Andrew Stanton
Art Direction,,Art Direction: James J. Murakami; Set Decoration: Gary Fettis
Art Direction,1.0,Art Direction: Donald Graham Burt; Set Decoration: Victor J. Zolfo
Art Direction,,Art Direction: Nathan Crowley; Set Decoration: Peter Lando
Art Direction,,Art Direction: Michael Carlin; Set Decoration: Rebecca Alleway
Art Direction,,Art Direction: Kristi Zea; Set Decoration: Debra Schutt
Cinematography,,Tom Stern
Cinematography,,Claudio Miranda
Cinematography,,Wally Pfister
Cinematography,,Chris Menges and Roger Deakins
Cinematography,1.0,Anthony Dod Mantle
Costume Design,,Catherine Martin
Costume Design,,Jacqueline West
Costume Design,1.0,Michael O'Connor
Costume Design,,Danny Glicker
Costume Design,,Albert Wolsky
Directing,,David Fincher
Directing,,Ron Howard
Directing,,Gus Van Sant
Directing,,Stephen Daldry
Directing,1.0,Danny Boyle
Documentary (Feature),,Ellen Kuras and Thavisouk Phrasavath
Documentary (Feature),,Werner Herzog and Henry Kaiser
Documentary (Feature),,Scott Hamilton Kennedy
Documentary (Feature),1.0,James Marsh and Simon Chinn
Documentary (Feature),,Tia Lessin and Carl Deal
Documentary (Short Subject),,Steven Okazaki
Documentary (Short Subject),,Irene Taylor Brodsky and Tom Grant
Documentary (Short Subject),1.0,Megan Mylan
Documentary (Short Subject),,Adam Pertofsky and Margaret Hyde
Film Editing,,Kirk Baxter and Angus Wall
Film Editing,,Lee Smith
Film Editing,,Mike Hill and Dan Hanley
Film Editing,,Elliot Graham
Film Editing,1.0,Chris Dickens
Foreign Language Film,,Germany
Foreign Language Film,,France
Foreign Language Film,1.0,Japan
Foreign Language Film,,Austria
Foreign Language Film,,Israel
Makeup,1.0,Greg Cannom
Makeup,,"John Caglione, Jr. and Conor O'Sullivan"
Makeup,,Mike Elizalde and Thom Floutz
Music (Original Score),,Alexandre Desplat
Music (Original Score),,James Newton Howard
Music (Original Score),,Danny Elfman
Music (Original Score),1.0,A.R. Rahman
Music (Original Score),,Thomas Newman
Music (Original Song),,Music by Peter Gabriel and Thomas Newman; Lyric by Peter Gabriel
Music (Original Song),1.0,Music by A.R. Rahman; Lyric by Gulzar
Music (Original Song),,Music and Lyric by A.R. Rahman and Maya Arulpragasam
Best Picture,,"Kathleen Kennedy, Frank Marshall and Ceán Chaffin, Producers"
Best Picture,,"Brian Grazer, Ron Howard and Eric Fellner, Producers"
Best Picture,,"Dan Jinks and Bruce Cohen, Producers"
Best Picture,,"Anthony Minghella, Sydney Pollack, Donna Gigliotti and Redmond Morris, Producers"
Best Picture,1.0,"Christian Colson, Producer"
Short Film (Animated),1.0,Kunio Kato
Short Film (Animated),,Konstantin Bronzit
Short Film (Animated),,Emud Mokhberi and Thierry Marchand
Short Film (Animated),,Doug Sweetland
Short Film (Animated),,Alan Smith and Adam Foulkes
Short Film (Live Action),,Reto Caffi
Short Film (Live Action),,Elizabeth Marre and Olivier Pont
Short Film (Live Action),,Steph Green and Tamara Anghie
Short Film (Live Action),,Tivi Magnusson and Dorte Høgh
Short Film (Live Action),1.0,Jochen Alexander Freydank
Sound Editing,1.0,Richard King
Sound Editing,,Frank Eulner and Christopher Boyes
Sound Editing,,Glenn Freemantle and Tom Sayers
Sound Editing,,Ben Burtt and Matthew Wood
Sound Editing,,Wylie Stateman
Sound Mixing,,"David Parker, Michael Semanick, Ren Klyce and Mark Weingarten"
Sound Mixing,,"Lora Hirschberg, Gary Rizzo and Ed Novick"
Sound Mixing,1.0,"Ian Tapp, Richard Pryke and Resul Pookutty"
Sound Mixing,,"Tom Myers, Michael Semanick and Ben Burtt"
Sound Mixing,,"Chris Jenkins, Frank A. Montaño and Petr Forejt"
Visual Effects,1.0,"Eric Barba, Steve Preeg, Burt Dalton and Craig Barron"
Visual Effects,,"Nick Davis, Chris Corbould, Tim Webber and Paul Franklin"
Visual Effects,,"John Nelson, Ben Snow, Dan Sudick and Shane Mahan"
Writing (Adapted Screenplay),,Screenplay by Eric Roth; Screen Story by Eric Roth and Robin Swicord
Writing (Adapted Screenplay),,Written by John Patrick Shanley
Writing (Adapted Screenplay),,Screenplay by Peter Morgan
Writing (Adapted Screenplay),,Screenplay by David Hare
Writing (Adapted Screenplay),1.0,Screenplay by Simon Beaufoy
Writing (Original Screenplay),,Written by Courtney Hunt
Writing (Original Screenplay),,Written by Mike Leigh
Writing (Original Screenplay),,Written by Martin McDonagh
Writing (Original Screenplay),1.0,Written by Dustin Lance Black
Writing (Original Screenplay),,"Screenplay by Andrew Stanton, Jim Reardon; Original Story by Andrew Stanton, Pete Docter"
Jean Hersholt Humanitarian Award,1.0,
Gordon E. Sawyer Award,1.0,
John A. Bonner Medal of Commendation,1.0,
Actor in a Leading Role,1.0,Crazy Heart
Actor in a Leading Role,,Up in the Air
