,Movie,Rating,Release Date,Runtime,Metascore,IMDb Rating,Box Office,Awards,Production Company
132,Silver Linings Playbook,R,25 Dec 2012,122 min,81,7.7,"$132,088,910",Won 1 Oscar. Another 88 wins & 145 nominations.,The Weinstein Company
133,Lincoln,PG-13,16 Nov 2012,150 min,86,7.4,"$129,477,447",Won 2 Oscars. Another 108 wins & 242 nominations.,Dreamworks Pictures
134,Les Misérables,PG-13,25 Dec 2012,158 min,63,7.6,"$148,775,460",Won 3 Oscars. Another 81 wins & 172 nominations.,Universal Pictures
135,The Master,R,21 Sep 2012,138 min,86,7.1,"$15,800,000",Nominated for 3 Oscars. Another 76 wins & 179 nominations.,The Weinstein Company
136,Flight,R,02 Nov 2012,138 min,76,7.3,"$89,400,000",Nominated for 2 Oscars. Another 16 wins & 42 nominations.,Paramount Pictures
137,Argo,R,12 Oct 2012,120 min,86,7.7,"$136,019,448",Won 3 Oscars. Another 94 wins & 152 nominations.,Warner Bros. Pictures
138,Django Unchained,R,25 Dec 2012,165 min,81,8.4,"$162,804,648",Won 2 Oscars. Another 56 wins & 151 nominations.,The Weinstein Co.
139,Zero Dark Thirty,R,11 Jan 2013,157 min,95,7.4,"$95,720,716",Won 1 Oscar. Another 87 wins & 171 nominations.,Columbia Pictures
140,Amour,PG-13,20 Sep 2012,127 min,94,7.9,"$6,700,000",Won 1 Oscar. Another 77 wins & 103 nominations.,Sony Pictures Classics
141,Beasts of the Southern Wild,PG-13,05 Jul 2012,93 min,86,7.3,"$12,784,397",Nominated for 4 Oscars. Another 92 wins & 123 nominations.,Fox Searchlight
142,Lo imposible,N/A,30 Jan 2013,N/A,N/A,7.6,N/A,N/A,N/A
143,The Sessions,R,16 Nov 2012,95 min,79,7.2,"$5,997,134",Nominated for 1 Oscar. Another 18 wins & 63 nominations.,Fox Searchlight Pictures
144,Corpse Bride,PG,23 Sep 2005,77 min,83,7.4,"$53,300,000",Nominated for 1 Oscar. Another 8 wins & 28 nominations.,Warner Bros. Pictures
145,Before I Disappear,UNRATED,28 Nov 2014,93 min,47,7.2,"$2,676",16 wins & 8 nominations.,IFC Films
146,Nebraska,R,24 Jan 2014,115 min,86,7.7,"$11,348,612",Nominated for 6 Oscars. Another 28 wins & 157 nominations.,Paramount Pictures
147,The Wolf of Wall Street,R,25 Dec 2013,180 min,75,8.2,"$91,330,760",Nominated for 5 Oscars. Another 38 wins & 165 nominations.,Paramount Studios
148,12 Years a Slave,R,08 Nov 2013,134 min,96,8.1,"$50,628,650",Won 3 Oscars. Another 235 wins & 326 nominations.,Fox Searchlight
149,Dallas Buyers Club,R,22 Nov 2013,117 min,84,8.0,"$23,750,994",Won 3 Oscars. Another 81 wins & 81 nominations.,Focus Features
150,Captain Phillips,PG-13,11 Oct 2013,134 min,83,7.8,"$107,100,855",Nominated for 6 Oscars. Another 16 wins & 144 nominations.,Sony Pictures
