,Movie,Rating,Release Date,Runtime,Metascore,IMDb Rating,Box Office,Awards,Production Company
409,God Is the Bigger Elvis,N/A,01 Apr 2012,37 min,N/A,7.1,N/A,Nominated for 1 Oscar. Another 1 win & 2 nominations.,HBO Documentary Films
410,Incident in New Baghdad,N/A,24 Apr 2011,22 min,N/A,6.6,N/A,Nominated for 1 Oscar. Another 4 wins.,Morninglight Films
411,Saving Face,R,24 Jun 2005,91 min,65,7.5,"$1,000,385",3 wins & 3 nominations.,Sony Pictures Classics
412,The Tsunami and the Cherry Blossom,N/A,20 Jan 2012,39 min,N/A,7.8,N/A,Nominated for 1 Oscar. Another 2 wins & 3 nominations.,N/A
413,In Darkness,R,05 Jan 2012,145 min,74,7.3,"$1,038,733",Nominated for 1 Oscar. Another 10 wins & 17 nominations.,Sony Pictures
414,Monsieur Lazhar,PG-13,07 Mar 2012,94 min,82,7.5,"$2,009,041",Nominated for 1 Oscar. Another 30 wins & 12 nominations.,Music Box Films
415,The Adventures of Tintin,PG,21 Dec 2011,107 min,68,7.3,"$75,300,000",Nominated for 1 Oscar. Another 21 wins & 60 nominations.,Paramount
416,Any Given Sunday,R,22 Dec 1999,162 min,52,6.9,N/A,3 wins & 9 nominations.,Warner Bros. Pictures
417,The Fantastic Flying Books of Mr. Morris Lessmore,TV-G,24 Sep 2014,15 min,N/A,8.0,N/A,Won 1 Oscar. Another 6 wins & 1 nomination.,N/A
418,La Luna,G,22 Jun 2012,7 min,N/A,8.0,N/A,Nominated for 1 Oscar. Another 1 nomination.,Disney Pixar
419,Pentecost,N/A,04 Mar 2011,11 min,N/A,6.7,N/A,Nominated for 1 Oscar. Another 1 nomination.,EMU Productions
420,Raju Gadu,N/A,01 Jun 2018,N/A,N/A,N/A,N/A,N/A,N/A
421,Love at the Shore,TV-G,29 Jul 2017,84 min,N/A,6.5,N/A,N/A,Crown Media Productions
422,Time Freak,N/A,09 Nov 2018,104 min,N/A,5.8,N/A,N/A,Lionsgate
423,Tuba Atlantic,N/A,01 Jun 2010,25 min,N/A,7.5,N/A,Nominated for 1 Oscar. Another 5 wins.,The Norwegian Film School
424,Drive,R,16 Sep 2011,100 min,78,7.8,"$34,300,000",Nominated for 1 Oscar. Another 77 wins & 170 nominations.,FilmDistrict
425,Transformers: Dark of the Moon,PG-13,29 Jun 2011,154 min,42,6.3,"$352,358,779",Nominated for 3 Oscars. Another 10 wins & 39 nominations.,Paramount Studios
426,Real Steel,PG-13,07 Oct 2011,127 min,56,7.1,"$85,463,309",Nominated for 1 Oscar. Another 2 wins & 5 nominations.,Walt Disney Pictures
427,Rise of the Planet of the Apes,PG-13,05 Aug 2011,105 min,68,7.6,"$175,300,000",Nominated for 1 Oscar. Another 21 wins & 42 nominations.,20th Century Fox
428,The Ides of March,R,07 Oct 2011,101 min,67,7.1,"$40,962,534",Nominated for 1 Oscar. Another 9 wins & 33 nominations.,Sony Pictures
429,Margin Call,R,29 Sep 2011,107 min,76,7.1,"$600,000",Nominated for 1 Oscar. Another 8 wins & 23 nominations.,Roadside Attractions
430,Mitch Albom's For One More Day,N/A,09 Dec 2007,120 min,N/A,5.8,N/A,Nominated for 1 Primetime Emmy. Another 1 win & 9 nominations.,Harpo Films
431,Alles wegen Robert De Niro,N/A,04 Dec 1996,90 min,N/A,8.3,N/A,N/A,N/A
432,Brave,PG,22 Jun 2012,93 min,69,7.1,"$237,282,182",Won 1 Oscar. Another 18 wins & 48 nominations.,Walt Disney Pictures
433,Frankenweenie,PG,05 Oct 2012,87 min,74,7.0,"$35,287,788",Nominated for 1 Oscar. Another 11 wins & 49 nominations.,Walt Disney Pictures
434,ParaNorman,PG,17 Aug 2012,92 min,72,7.0,"$55,994,557",Nominated for 1 Oscar. Another 19 wins & 45 nominations.,Focus Features
435,Wreck-It Ralph,PG,02 Nov 2012,101 min,72,7.7,"$189,412,677",Nominated for 1 Oscar. Another 33 wins & 41 nominations.,Walt Disney Pictures
436,Anna Karenina,R,07 Sep 2012,129 min,63,6.6,"$12,802,907",Won 1 Oscar. Another 31 wins & 51 nominations.,Focus Features
437,Life of Pi,PG,21 Nov 2012,127 min,79,7.9,"$103,500,000",Won 4 Oscars. Another 78 wins & 129 nominations.,20th Century Fox
438,Skyfall,PG-13,09 Nov 2012,143 min,81,7.8,"$299,300,000",Won 2 Oscars. Another 65 wins & 119 nominations.,MGM
439,Mirror Mirror,PG,30 Mar 2012,106 min,46,5.6,"$64,933,670",Nominated for 1 Oscar. Another 2 wins & 8 nominations.,Relativity Media
440,Snow White and the Huntsman,PG-13,01 Jun 2012,127 min,57,6.1,"$155,081,785",Nominated for 2 Oscars. Another 13 wins & 31 nominations.,Universal Pictures
441,Five Broken Cameras,NOT RATED,N/A,94 min,78,8.0,"$108,541",Nominated for 1 Oscar. Another 18 wins & 6 nominations.,Kino Lorber Films
442,The Gatekeepers,PG-13,14 Mar 2013,101 min,91,7.6,"$2,408,553",Nominated for 1 Oscar. Another 7 wins & 10 nominations.,Sony Pictures Classics
443,How to Survive a Plague,NOT RATED,08 Nov 2013,110 min,86,7.6,"$122,665",Nominated for 1 Oscar. Another 13 wins & 19 nominations.,Sundance Selects
444,The Invisible War,NOT RATED,20 Jan 2012,93 min,75,7.6,"$66,167",Nominated for 1 Oscar. Another 10 wins & 13 nominations.,Cinedigm
445,Searching for Sugar Man,PG-13,26 Jul 2012,86 min,79,8.2,"$3,100,000",Won 1 Oscar. Another 39 wins & 30 nominations.,Sony Pictures Classics
446,Born Innocent,NOT RATED,10 Sep 1974,98 min,N/A,6.6,N/A,1 nomination.,Tomorrow Entertainment
447,The Shawshank Redemption,R,14 Oct 1994,142 min,80,9.3,N/A,Nominated for 7 Oscars. Another 19 wins & 32 nominations.,Columbia Pictures
448,Kon-Tiki,PG-13,26 Apr 2013,118 min,62,7.2,"$1,511,798",Nominated for 1 Oscar. Another 12 wins & 13 nominations.,The Weinstein Company
449,Dr. No,PG,07 Oct 1962,110 min,78,7.3,N/A,Won 1 Golden Globe. Another 1 win & 4 nominations.,United Artists
450,Rebelle,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
451,Hitchcock,PG-13,14 Dec 2012,98 min,55,6.8,"$6,002,708",Nominated for 1 Oscar. Another 4 wins & 28 nominations.,Fox Searchlight Pictures
452,The Hobbit: An Unexpected Journey,PG-13,14 Dec 2012,169 min,58,7.9,"$303,001,229",Nominated for 3 Oscars. Another 10 wins & 72 nominations.,Warner Bros.
453,Adam and Dog,TV-PG,06 Nov 2012,16 min,N/A,6.9,N/A,Nominated for 1 Oscar. Another 1 win.,N/A
454,Fresh Guacamole,N/A,02 Mar 2012,2 min,N/A,7.4,N/A,Nominated for 1 Oscar. Another 1 nomination.,N/A
455,Head Over Heels,PG-13,02 Feb 2001,86 min,27,5.4,"$9,892,550",N/A,Universal Pictures
456,Paperman,G,02 Nov 2012,7 min,N/A,8.3,N/A,Won 1 Oscar. Another 2 wins & 2 nominations.,Walt Disney Pictures
457,Curfew,PG-13,04 Oct 2012,19 min,N/A,7.9,N/A,Won 1 Oscar. Another 20 wins & 3 nominations.,Fuzzy Logic Pictures
458,Hardcore Henry,R,08 Apr 2016,96 min,51,6.7,N/A,1 win & 1 nomination.,N/A
459,The Avengers,PG-13,04 May 2012,143 min,69,8.1,"$623,279,547",Nominated for 1 Oscar. Another 38 wins & 79 nominations.,Walt Disney Pictures
460,Prometheus,R,08 Jun 2012,124 min,64,7.0,"$126,464,904",Nominated for 1 Oscar. Another 6 wins & 46 nominations.,20th Century Fox
461,Moonrise Kingdom,PG-13,29 Jun 2012,94 min,84,7.8,"$45,507,865",Nominated for 1 Oscar. Another 38 wins & 118 nominations.,Focus Features
462,Jill Drew and D.A. Pennebaker,N/A,20 Apr 2016,26 min,N/A,N/A,N/A,N/A,N/A
463,George Stevens Jr. On 'Woman of the Year',N/A,18 Apr 2017,6 min,N/A,N/A,N/A,N/A,N/A
464,The Croods,PG,22 Mar 2013,98 min,55,7.2,"$187,165,546",Nominated for 1 Oscar. Another 5 wins & 44 nominations.,20th Century Fox
465,Despicable Me 2,PG,03 Jul 2013,98 min,62,7.4,"$368,049,635",Nominated for 2 Oscars. Another 12 wins & 65 nominations.,Universal Pictures
466,Frozen,PG,27 Nov 2013,102 min,74,7.5,"$400,736,600",Won 2 Oscars. Another 77 wins & 57 nominations.,Walt Disney Pictures
467,Inside Llewyn Davis,R,10 Jan 2014,104 min,93,7.5,"$9,666,762",Nominated for 2 Oscars. Another 47 wins & 169 nominations.,CBS Films
468,Prisoners,R,20 Sep 2013,153 min,74,8.1,"$60,962,878",Nominated for 1 Oscar. Another 10 wins & 35 nominations.,Warner Bros.
469,The Great Gatsby,PG-13,10 May 2013,143 min,55,7.3,"$144,812,796",Won 2 Oscars. Another 47 wins & 83 nominations.,Warner Bros. Pictures
470,The Invisible Woman,R,21 Feb 2014,111 min,75,6.2,"$1,200,000",Nominated for 1 Oscar. Another 1 win & 7 nominations.,Sony Pictures Classics
471,Jagal Bhaag Hamar,N/A,01 Jan 1978,N/A,N/A,N/A,N/A,N/A,N/A
472,Cutie and the Boxer,R,01 Nov 2013,82 min,83,7.2,"$199,274",Nominated for 1 Oscar. Another 8 wins & 13 nominations.,Radius
473,Dirty Wars,NOT RATED,18 Oct 2013,87 min,76,7.5,"$365,604",Nominated for 1 Oscar. Another 10 wins & 6 nominations.,IFC Films
474,The Square,R,25 Aug 2017,151 min,73,7.3,"$1,284,672",Nominated for 1 Oscar. Another 27 wins & 36 nominations.,Magnolia Pictures
475,20 Feet from Stardom,PG-13,26 Jul 2013,91 min,83,7.4,N/A,Won 1 Oscar. Another 20 wins & 26 nominations.,Radius-TWC
476,Cavedigger,TV-G,12 Jan 2013,39 min,N/A,7.2,N/A,Nominated for 1 Oscar. Another 1 nomination.,KAROFFilms
477,Karama Has No Walls,N/A,01 Mar 2012,26 min,N/A,7.7,N/A,Nominated for 1 Oscar. Another 1 win.,N/A
478,The Broken Circle Breakdown,NOT RATED,10 Oct 2012,111 min,70,7.8,N/A,Nominated for 1 Oscar. Another 33 wins & 24 nominations.,Tribeca Film
479,The Great American Beauty Contest,UNRATED,13 Feb 1973,74 min,N/A,6.2,N/A,N/A,N/A
480,Hunt for the Wilderpeople,PG-13,31 Mar 2016,101 min,81,7.9,"$5,202,582",20 wins & 25 nominations.,Piki Films
481,The Lone Ranger,PG-13,03 Jul 2013,150 min,37,6.4,"$89,289,910",Nominated for 2 Oscars. Another 4 wins & 17 nominations.,Walt Disney Pictures
482,The Book Thief,PG-13,27 Nov 2013,131 min,53,7.6,N/A,Nominated for 1 Oscar. Another 8 wins & 14 nominations.,20th Century Fox
483,Her,R,10 Jan 2014,126 min,90,8.0,"$17,901,029",Won 1 Oscar. Another 82 wins & 181 nominations.,Warner Bros. Pictures
484,Saving Mr. Banks,PG-13,20 Dec 2013,125 min,65,7.5,"$53,260,198",Nominated for 1 Oscar. Another 13 wins & 72 nominations.,Walt Disney Pictures
485,Feral,N/A,25 May 2018,90 min,41,4.1,N/A,N/A,N/A
486,Get a Horse!,G,27 Nov 2013,6 min,N/A,7.6,N/A,Nominated for 1 Oscar. Another 2 wins & 1 nomination.,Walt Disney Pictures
487,Mr Hublot,N/A,26 Feb 2014,11 min,N/A,7.2,N/A,Won 1 Oscar. Another 4 wins & 2 nominations.,N/A
488,Ava's Possessions,R,04 Mar 2016,89 min,53,5.6,N/A,1 nomination.,Off Hollywood Pictures
489,Room on the Broom,NOT RATED,30 Oct 2013,25 min,N/A,7.5,N/A,Nominated for 1 Oscar. Another 2 wins & 3 nominations.,Magic Light Pictures
490,Helium,NOT RATED,31 Jan 2014,23 min,N/A,7.3,N/A,Won 1 Oscar. Another 5 wins & 2 nominations.,N/A
491,The Voorman Problem,TV-PG,25 Apr 2013,13 min,N/A,7.3,N/A,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,Honlodge Productions
492,All Is Lost,PG-13,07 Nov 2013,106 min,87,6.9,"$4,300,353",Nominated for 1 Oscar. Another 3 wins & 48 nominations.,Lionsgate/Roadside Attractions
493,The Hobbit: The Desolation of Smaug,PG-13,13 Dec 2013,161 min,66,7.8,"$180,443,783",Nominated for 3 Oscars. Another 16 wins & 86 nominations.,Warner Bros.
494,Lone Survivor,R,10 Jan 2014,121 min,60,7.5,"$97,665,254",Nominated for 2 Oscars. Another 5 wins & 14 nominations.,Universal Studios
495,Iron Man 3,PG-13,03 May 2013,130 min,62,7.2,"$408,992,272",Nominated for 1 Oscar. Another 17 wins & 61 nominations.,Walt Disney Pictures
496,Star Trek: Into Darkness,PG-13,16 May 2013,132 min,72,7.7,"$228,756,232",Nominated for 1 Oscar. Another 6 wins & 56 nominations.,Paramount
497,Before Midnight,R,14 Jun 2013,109 min,94,7.9,"$8,114,507",Nominated for 1 Oscar. Another 21 wins & 59 nominations.,Drafthouse Recommends
498,They All Laughed 25 Years Later: Director to Director - A Conversation with Peter Bogdanovich and Wes Anderson,N/A,17 Oct 2006,27 min,N/A,N/A,N/A,N/A,N/A
499,Big Hero 6,PG,07 Nov 2014,102 min,74,7.8,N/A,Won 1 Oscar. Another 16 wins & 57 nominations.,Walt Disney Pictures
500,The Boxtrolls,PG,26 Sep 2014,96 min,61,6.8,"$52,098,992",Nominated for 1 Oscar. Another 8 wins & 59 nominations.,Focus Features
501,How to Train Your Dragon 2,PG,13 Jun 2014,102 min,76,7.8,"$147,065,544",Nominated for 1 Oscar. Another 14 wins & 60 nominations.,20th Century Fox
502,Song of the Sea,PG,20 Nov 2015,93 min,85,8.1,N/A,Nominated for 1 Oscar. Another 11 wins & 23 nominations.,GKIDS
503,The Grand Budapest Hotel,R,28 Mar 2014,99 min,88,8.1,"$56,939,515",Won 4 Oscars. Another 127 wins & 218 nominations.,Fox Searchlight
504,Ida,PG-13,25 Oct 2013,82 min,91,7.4,N/A,Won 1 Oscar. Another 66 wins & 83 nominations.,Music Box Films
505,Mr. Turner,R,31 Oct 2014,150 min,94,6.8,N/A,Nominated for 4 Oscars. Another 19 wins & 62 nominations.,Sony Pictures Classics
506,Unbroken,PG-13,25 Dec 2014,137 min,59,7.2,"$70,500,647",Nominated for 3 Oscars. Another 14 wins & 29 nominations.,Universal Pictures
507,Inherent Vice,R,09 Jan 2015,148 min,81,6.7,"$6,100,613",Nominated for 2 Oscars. Another 16 wins & 93 nominations.,Warner Bros. Pictures
508,Maleficent,PG,30 May 2014,97 min,56,7.0,"$190,871,149",Nominated for 1 Oscar. Another 10 wins & 42 nominations.,Walt Disney Pictures
509,Citizenfour,R,28 Nov 2014,114 min,88,8.1,N/A,Won 1 Oscar. Another 43 wins & 35 nominations.,Radius-TWC
510,Finding Vivian Maier,NOT RATED,17 Apr 2014,83 min,75,7.7,N/A,Nominated for 1 Oscar. Another 11 wins & 21 nominations.,IFC Films
511,Last Days in Vietnam,NOT RATED,17 Jan 2014,98 min,86,7.6,"$408,651",Nominated for 1 Oscar. Another 4 wins & 10 nominations.,American Experience/PBS Films
512,Salt of the Earth,NOT RATED,14 Mar 1954,94 min,N/A,7.5,N/A,3 wins.,The Film Detective
513,Virunga,NOT RATED,07 Nov 2014,100 min,95,8.2,N/A,Nominated for 1 Oscar. Another 18 wins & 24 nominations.,Netflix
514,Crisis Hotline: Veterans Press 1,TV-14,11 Nov 2013,40 min,N/A,7.5,N/A,Won 1 Oscar. Another 1 nomination.,HBO Documentary
515,Joanna,N/A,26 Nov 2010,110 min,N/A,6.9,N/A,6 wins & 6 nominations.,N/A
516,White Earth,N/A,18 Jan 2014,20 min,N/A,6.2,N/A,Nominated for 1 Oscar. Another 1 win & 1 nomination.,N/A
517,Leviathan,R,05 Feb 2015,140 min,92,7.6,"$754,393",Nominated for 1 Oscar. Another 33 wins & 44 nominations.,Sony Pictures Classics
518,Timbuktu,PG-13,10 Dec 2014,97 min,92,7.2,"$696,436",Nominated for 1 Oscar. Another 28 wins & 19 nominations.,Cohen Media Group
519,Guardians of the Galaxy,PG-13,01 Aug 2014,121 min,76,8.1,"$270,592,504",Nominated for 2 Oscars. Another 52 wins & 99 nominations.,Walt Disney Pictures
520,Interstellar,PG-13,07 Nov 2014,169 min,74,8.6,"$158,737,441",Won 1 Oscar. Another 43 wins & 143 nominations.,Paramount Pictures
521,Selma,PG-13,09 Jan 2015,128 min,89,7.5,N/A,Won 1 Oscar. Another 58 wins & 88 nominations.,Paramount Pictures
522,The Bigger Picture,N/A,11 Oct 2014,8 min,N/A,6.7,N/A,Nominated for 1 Oscar. Another 6 wins & 5 nominations.,N/A
523,The Dam Keeper,TV-G,11 Oct 2014,18 min,N/A,8.0,N/A,Nominated for 1 Oscar. Another 6 wins & 2 nominations.,N/A
524,Feast,R,18 Jan 2007,95 min,43,6.3,N/A,1 win.,The Weinstein Company
525,A Single Life,TV-PG,01 Sep 2014,3 min,N/A,7.4,N/A,Nominated for 1 Oscar. Another 1 win & 1 nomination.,NB Thrilling Films
526,Boogaloo and Graham,TV-PG,01 Aug 2014,14 min,N/A,7.3,N/A,Nominated for 1 Oscar. Another 2 wins & 5 nominations.,Out of Orbit Films
527,Parvaneh,TV-G,01 Nov 2012,25 min,N/A,6.8,N/A,Nominated for 1 Oscar. Another 1 nomination.,Zurich University of Arts
528,The Phone Call,TV-14,20 Feb 2015,22 min,N/A,7.2,N/A,Won 1 Oscar. Another 7 wins & 3 nominations.,N/A
529,The Hobbit: The Battle of the Five Armies,PG-13,17 Dec 2014,144 min,59,7.4,"$187,747,747",Nominated for 1 Oscar. Another 7 wins & 51 nominations.,Warner Bros.
530,Captain America: The Winter Soldier,PG-13,04 Apr 2014,136 min,70,7.8,"$228,636,083",Nominated for 1 Oscar. Another 5 wins & 50 nominations.,Walt Disney Pictures
531,Dawn of the Planet of the Apes,PG-13,11 Jul 2014,130 min,79,7.6,"$183,278,877",Nominated for 1 Oscar. Another 16 wins & 47 nominations.,20th Century Fox
532,X-Men: Days of Future Past,PG-13,23 May 2014,132 min,75,8.0,"$199,305,306",Nominated for 1 Oscar. Another 15 wins & 47 nominations.,20th Century Fox
533,Nightcrawler,R,31 Oct 2014,117 min,76,7.9,N/A,Nominated for 1 Oscar. Another 43 wins & 120 nominations.,Open Road Films
534,Sing Your Song,NOT RATED,14 Apr 2012,103 min,73,7.5,"$47,718",3 wins & 2 nominations.,S2BN Films
535,Busy Bodies,APPROVED,07 Oct 1933,19 min,N/A,7.9,N/A,N/A,Hal Roach Studios
536,Driven,PG-13,27 Apr 2001,116 min,29,4.6,N/A,1 win & 10 nominations.,Warner Bros. Pictures
537,Anomalisa,R,11 Mar 2016,90 min,88,7.3,N/A,Nominated for 1 Oscar. Another 24 wins & 72 nominations.,Starburns Industries
538,Inside Out,PG,19 Jun 2015,95 min,94,8.2,"$264,317,903",Won 1 Oscar. Another 93 wins & 112 nominations.,Disney/Pixar
539,Shaun the Sheep Movie,PG,05 Aug 2015,85 min,81,7.4,N/A,Nominated for 1 Oscar. Another 4 wins & 48 nominations.,Lionsgate
540,Mad Max: Fury Road,R,15 May 2015,120 min,90,8.1,"$129,483,877",Won 6 Oscars. Another 232 wins & 219 nominations.,Warner Bros.
541,Sicario,R,02 Oct 2015,121 min,82,7.6,N/A,Nominated for 3 Oscars. Another 15 wins & 150 nominations.,Lionsgate
542,Cinderella,PG,13 Mar 2015,105 min,67,6.9,"$183,327,144",Nominated for 1 Oscar. Another 8 wins & 35 nominations.,Walt Disney Pictures
543,Amy,R,03 Jul 2015,128 min,85,7.8,"$7,851,076",Won 1 Oscar. Another 50 wins & 44 nominations.,A24 Films
544,Cartel Land,R,03 Jul 2015,100 min,76,7.4,N/A,Nominated for 1 Oscar. Another 18 wins & 35 nominations.,The Orchard
545,The Look of Silence,PG-13,17 Jul 2015,103 min,92,8.3,"$48,097",Nominated for 1 Oscar. Another 47 wins & 40 nominations.,Drafthouse Films
546,"What Happened, Miss Simone?",NOT RATED,24 Jun 2015,101 min,75,7.6,N/A,Nominated for 1 Oscar. Another 6 wins & 18 nominations.,Netflix
547,Winter on Fire: Ukraine's Fight for Freedom,NOT RATED,09 Oct 2015,102 min,79,8.4,N/A,Nominated for 1 Oscar. Another 2 wins & 4 nominations.,N/A
548,Body Team 12,N/A,19 Apr 2015,13 min,N/A,7.3,N/A,Nominated for 1 Oscar. Another 2 wins & 2 nominations.,RYOT Films
549,"Chau, Beyond the Lines",N/A,21 Aug 2015,34 min,N/A,7.1,N/A,Nominated for 1 Oscar. Another 5 wins & 1 nomination.,Cynasty Films
550,A Girl in the River: The Price of Forgiveness,TV-PG,28 Oct 2015,40 min,N/A,7.9,N/A,Won 1 Oscar. Another 1 win.,HBO Documentary Films
551,Last Day of Freedom,N/A,11 Apr 2015,32 min,N/A,7.6,N/A,Nominated for 1 Oscar. Another 5 wins.,N/A
552,Star Wars: The Force Awakens,PG-13,18 Dec 2015,136 min,81,8.0,"$936,658,640",Nominated for 5 Oscars. Another 57 wins & 123 nominations.,Walt Disney Pictures
553,Mustang,PG-13,17 Jun 2015,97 min,83,7.6,"$560,778",Nominated for 1 Oscar. Another 42 wins & 58 nominations.,CG Cinéma
554,Theeb,NOT RATED,19 Mar 2015,100 min,80,7.2,"$128,430",Nominated for 1 Oscar. Another 10 wins & 14 nominations.,Noor Pictures
555,A Private War,N/A,16 Nov 2018,106 min,76,7.0,N/A,N/A,Aviron Pictures
556,The Bath Song & More Kids Songs: Super Simple Songs,N/A,10 Jul 2017,40 min,N/A,N/A,N/A,N/A,N/A
557,Prologue,N/A,23 Feb 2016,6 min,N/A,6.3,N/A,Nominated for 1 Oscar. Another 1 nomination.,Animation Masterclass
558,Sanjay's Super Team,PG,25 Nov 2015,7 min,N/A,6.9,N/A,Nominated for 1 Oscar. Another 2 nominations.,Pixar
559,World of Tomorrow,G,31 Mar 2015,17 min,N/A,8.2,N/A,Nominated for 1 Oscar. Another 27 wins & 3 nominations.,N/A
560,Ave Maria,N/A,21 Jun 2015,15 min,N/A,6.5,N/A,Nominated for 1 Oscar. Another 10 wins & 21 nominations.,Incognito Films
561,Shok,N/A,23 Feb 2016,21 min,N/A,8.2,N/A,Nominated for 1 Oscar. Another 14 wins & 4 nominations.,N/A
562,Stutterer,N/A,09 Sep 2015,12 min,N/A,7.7,N/A,Won 1 Oscar. Another 5 wins & 1 nomination.,Bare Golly Films
563,Ex Machina,R,24 Apr 2015,108 min,78,7.7,"$19,012,798",Won 1 Oscar. Another 70 wins & 153 nominations.,A24 Films
564,Straight Outta Compton,R,14 Aug 2015,147 min,72,7.9,"$129,402,415",Nominated for 1 Oscar. Another 27 wins & 40 nominations.,Universal Pictures
565,Bright Lights: Starring Carrie Fisher and Debbie Reynolds,TV-14,07 Jan 2017,95 min,78,8.0,N/A,Nominated for 2 Primetime Emmys. Another 1 win & 4 nominations.,HBO Films
566,He Got Game,R,01 May 1998,136 min,63,6.9,N/A,10 nominations.,Buena Vista
