,Unnamed: 0,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Awards,Production Company,noms,wins,nominations,oscar_wins
131,131,Zero Dark Thirty,2012-12-19,11 Jan 2013,40000000.0,132820716.0,95720716.0,Thriller,R,157.0,95.0,7.4,Won 1 Oscar. Another 87 wins & 171 nominations.,Columbia Pictures,Won 1 Oscar. Another 87 wins ,87.0,171.0,
132,132,Amour,2012-07-01,20 Sep 2012,8900000.0,29844753.0,6700000.0,Drama,PG-13,127.0,94.0,7.9,Won 1 Oscar. Another 77 wins & 103 nominations.,Sony Pictures Classics,Won 1 Oscar. Another 77 wins ,77.0,103.0,
133,133,Beasts of the Southern Wild,2012-06-29,05 Jul 2012,1800000.0,21107746.0,12784397.0,Drama,PG-13,93.0,86.0,7.3,Nominated for 4 Oscars. Another 92 wins & 123 nominations.,Fox Searchlight,Nominated for 4 Oscars. Another 92 wins ,92.0,123.0,
134,134,Lo imposible,2012-09-09,30 Jan 2013,42000000.0,180274123.0,0.0,Thriller,,0.0,,7.6,,,,0.0,,
135,135,The Sessions,2012-05-02,16 Nov 2012,1000000.0,9138338.0,5997134.0,Drama,R,95.0,79.0,7.2,Nominated for 1 Oscar. Another 18 wins & 63 nominations.,Fox Searchlight Pictures,Nominated for 1 Oscar. Another 18 wins ,18.0,63.0,
136,136,Corpse Bride,2005-09-12,23 Sep 2005,40000000.0,117195061.0,53300000.0,Romance,PG,77.0,83.0,7.4,Nominated for 1 Oscar. Another 8 wins & 28 nominations.,Warner Bros. Pictures,Nominated for 1 Oscar. Another 8 wins ,8.0,28.0,
137,137,Before I Disappear,2014-10-11,28 Nov 2014,0.0,8251.0,2676.0,Drama,UNRATED,93.0,47.0,7.2,16 wins & 8 nominations.,IFC Films,16 wins ,0.0,8.0,
138,138,Nebraska,2013-09-21,24 Jan 2014,12000000.0,17654912.0,11348612.0,Drama,R,115.0,86.0,7.7,Nominated for 6 Oscars. Another 28 wins & 157 nominations.,Paramount Pictures,Nominated for 6 Oscars. Another 28 wins ,28.0,157.0,
139,139,The Wolf of Wall Street,2013-12-25,25 Dec 2013,100000000.0,392000694.0,91330760.0,Crime,R,180.0,75.0,8.2,Nominated for 5 Oscars. Another 38 wins & 165 nominations.,Paramount Studios,Nominated for 5 Oscars. Another 38 wins ,38.0,165.0,
140,140,12 Years a Slave,2013-10-18,08 Nov 2013,20000000.0,187000000.0,50628650.0,Drama,R,134.0,96.0,8.1,Won 3 Oscars. Another 235 wins & 326 nominations.,Fox Searchlight,Won 3 Oscars. Another 235 wins ,235.0,326.0,
