,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Awards,Production Company,wins,nominations,Win or Nominated,Oscar Wins
461,Ava's Possessions,2015-03-16,04 Mar 2016,0.0,0.0,0.0,Mystery,R,89.0,53.0,5.6,1,Off Hollywood Pictures,,,,1
462,Room on the Broom,2012-12-25,30 Oct 2013,0.0,0.0,0.0,Family,NOT RATED,25.0,,7.5,"N1O, ++2,3",Magic Light Pictures,2.0,3.0,N,1
463,Helium,2013-10-01,31 Jan 2014,0.0,0.0,0.0,Drama,NOT RATED,23.0,,7.3,"W1O, ++5,2",,5.0,2.0,W,1
464,The Voorman Problem,2013-04-25,25 Apr 2013,0.0,0.0,0.0,Comedy,TV-PG,13.0,,7.3,"N1O, ++2,4",Honlodge Productions,2.0,4.0,N,1
465,All Is Lost,2013-10-18,07 Nov 2013,9000000.0,6108720.0,4300353.0,Action,PG-13,106.0,87.0,6.9,"N1O, ++3,48",Lionsgate/Roadside Attractions,3.0,48.0,N,1
466,The Hobbit: The Desolation of Smaug,2013-12-11,13 Dec 2013,250000000.0,958400000.0,180443783.0,Adventure,PG-13,161.0,66.0,7.8,"N3O, ++16,86",Warner Bros.,16.0,86.0,N,3
467,Lone Survivor,2013-12-24,10 Jan 2014,40000000.0,149295601.0,97665254.0,Action,R,121.0,60.0,7.5,"N2O, ++5,14",Universal Studios,5.0,14.0,N,2
468,Iron Man 3,2013-04-18,03 May 2013,200000000.0,1215439994.0,408992272.0,Action,PG-13,130.0,62.0,7.2,"N1O, ++17,61",Walt Disney Pictures,17.0,61.0,N,1
469,Before Midnight,2013-04-05,14 Jun 2013,3000000.0,11176469.0,8114507.0,Romance,R,109.0,94.0,7.9,"N1O, ++2++1,59",Drafthouse Recommends,21.0,59.0,N,1
470,They All Laughed 25 Years Later: Director to Director - A Conversation with Peter Bogdanovich and Wes Anderson,2006-10-17,17 Oct 2006,0.0,0.0,0.0,Documentary,,27.0,,,"0, 0, 0, 0,",,0.0,,,0
471,Big Hero 6,2014-10-24,07 Nov 2014,165000000.0,657818612.0,0.0,Adventure,PG,102.0,74.0,7.8,"W1O, ++16,57",Walt Disney Pictures,16.0,57.0,W,1
472,The Boxtrolls,2014-09-10,26 Sep 2014,60000000.0,108255770.0,52098992.0,Animation,PG,96.0,61.0,6.8,"N1O, ++8,59",Focus Features,8.0,59.0,N,1
473,How to Train Your Dragon 2,2014-06-12,13 Jun 2014,145000000.0,609123048.0,147065544.0,Fantasy,PG,102.0,76.0,7.8,"N1O, ++14,60",20th Century Fox,14.0,60.0,N,1
474,Song of the Sea,2014-09-06,20 Nov 2015,0.0,857522.0,0.0,Family,PG,93.0,85.0,8.1,"N1O, ++1++1,23",GKIDS,11.0,23.0,N,1
475,The Grand Budapest Hotel,2014-02-26,28 Mar 2014,30000000.0,174600318.0,56939515.0,Comedy,R,99.0,88.0,8.1,"W4O, ++127,218",Fox Searchlight,127.0,218.0,W,4
476,Ida,2013-10-25,25 Oct 2013,2159280.0,15298355.0,0.0,Drama,PG-13,82.0,91.0,7.4,"W1O, ++66,83",Music Box Films,66.0,83.0,W,1
477,Mr. Turner,2014-10-31,31 Oct 2014,0.0,5405500.0,0.0,History,R,150.0,94.0,6.8,"N4O, ++19,62",Sony Pictures Classics,19.0,62.0,N,4
478,Unbroken,2014-12-25,25 Dec 2014,65000000.0,163442937.0,70500647.0,Drama,PG-13,137.0,59.0,7.2,"N3O, ++14,29",Universal Pictures,14.0,29.0,N,3
479,Inherent Vice,2014-12-25,09 Jan 2015,20000000.0,11110975.0,6100613.0,Comedy,R,148.0,81.0,6.7,"N2O, ++16,93",Warner Bros. Pictures,16.0,93.0,N,2
480,Maleficent,2014-05-28,30 May 2014,180000000.0,758539785.0,190871149.0,Fantasy,PG,97.0,56.0,7.0,"N1O, ++10,42",Walt Disney Pictures,10.0,42.0,N,1
481,Citizenfour,2014-10-24,28 Nov 2014,0.0,3003169.0,0.0,Documentary,R,114.0,88.0,8.1,"W1O, ++43,35",Radius-TWC,43.0,35.0,W,1
482,Finding Vivian Maier,2014-03-28,17 Apr 2014,0.0,1503616.0,0.0,Documentary,NOT RATED,83.0,75.0,7.7,"N1O, ++1++1,21",IFC Films,11.0,21.0,N,1
483,Last Days in Vietnam,2014-09-05,17 Jan 2014,0.0,161.0,408651.0,War,NOT RATED,98.0,86.0,7.6,"N1O, ++4,10",American Experience/PBS Films,4.0,10.0,N,1
484,Salt of the Earth,1954-03-14,14 Mar 1954,0.0,0.0,0.0,History,NOT RATED,94.0,,7.5,"3,,",The Film Detective,,,,3
485,Virunga,2014-11-07,07 Nov 2014,0.0,0.0,0.0,Documentary,NOT RATED,100.0,95.0,8.2,"N1O, ++18,24",Netflix,18.0,24.0,N,1
486,Crisis Hotline: Veterans Press 1,2013-11-11,11 Nov 2013,0.0,0.0,0.0,Documentary,TV-14,40.0,,7.5,"W1O, ++1",HBO Documentary,0.0,,W,1
487,Joanna,2013-06-28,26 Nov 2010,0.0,0.0,0.0,Documentary,,110.0,,6.9,"6,6",,0.0,6.0,,6
488,White Earth,2013-03-17,18 Jan 2014,0.0,0.0,0.0,Documentary,,20.0,,6.2,"N1O, ++++1,1",,1.0,1.0,N,1
