,Movie,Release Date_x,Release Date_y,Budget,Revenue,Box Office,Genres,Rating,Runtime,Metascore,IMDb Rating,Production Company,wins,nominations,Win or Nominated,Oscar Wins
383,Undefeated,2011-03-13,03 Aug 2012,0.0,0.0,561054.0,Documentary,PG-13,113.0,71.0,7.8,The Weinstein Company,3.0,8.0,W,1
384,The Barber of Birmingham: Foot Soldier of the Civil Rights Movement,2011-01-01,Not Listed,0.0,0.0,0.0,Documentary,Not Listed,25.0,0,7.2,Not Listed,2.0,1.0,N,1
385,Incident in New Baghdad,2011-04-24,24 Apr 2011,0.0,0.0,0.0,Documentary,Not Listed,22.0,0,6.6,Morninglight Films,4.0,Not Listed,N,1
387,The Tsunami and the Cherry Blossom,2011-09-12,20 Jan 2012,0.0,0.0,0.0,Documentary,Not Listed,39.0,0,7.8,Not Listed,2.0,3.0,N,1
388,In Darkness,2018-05-25,05 Jan 2012,0.0,0.0,1038733.0,Thriller,R,145.0,74.0,7.3,Sony Pictures,10.0,17.0,N,1
389,Monsieur Lazhar,2011-09-10,07 Mar 2012,0.0,6581915.0,2009041.0,Drama,PG-13,94.0,82.0,7.5,Music Box Films,30.0,12.0,N,1
390,The Adventures of Tintin,2011-10-25,21 Dec 2011,130000000.0,371940071.0,75300000.0,Adventure,PG,107.0,68.0,7.3,Paramount,21.0,60.0,N,1
392,La Luna,1979-08-29,22 Jun 2012,0.0,0.0,0.0,Drama,G,7.0,0,8.0,Disney Pixar,0.0,Not Listed,N,1
393,Pentecost,2011-02-10,04 Mar 2011,0.0,0.0,0.0,Comedy,Not Listed,11.0,0,6.7,EMU Productions,0.0,Not Listed,N,1
397,Tuba Atlantic,2010-02-10,01 Jun 2010,0.0,0.0,0.0,Comedy,Not Listed,25.0,0,7.5,The Norwegian Film School,5.0,Not Listed,N,1
398,Drive,2011-08-06,16 Sep 2011,15000000.0,78054825.0,34300000.0,Drama,R,100.0,78.0,7.8,FilmDistrict,77.0,170.0,N,1
399,Transformers: Dark of the Moon,2011-06-28,29 Jun 2011,195000000.0,1123746996.0,352358779.0,Action,PG-13,154.0,42.0,6.3,Paramount Studios,10.0,39.0,N,3
400,Real Steel,2011-09-28,07 Oct 2011,110000000.0,299268508.0,85463309.0,Action,PG-13,127.0,56.0,7.1,Walt Disney Pictures,2.0,5.0,N,1
401,Rise of the Planet of the Apes,2011-08-03,05 Aug 2011,93000000.0,482860185.0,175300000.0,Thriller,PG-13,105.0,68.0,7.6,20th Century Fox,21.0,42.0,N,1
402,The Ides of March,2011-09-24,07 Oct 2011,12500000.0,75993061.0,40962534.0,Drama,R,101.0,67.0,7.1,Sony Pictures,9.0,33.0,N,1
403,Margin Call,2011-09-28,29 Sep 2011,3500000.0,19504039.0,600000.0,Thriller,R,107.0,76.0,7.1,Roadside Attractions,8.0,23.0,N,1
406,Brave,2012-06-21,22 Jun 2012,185000000.0,538983207.0,237282182.0,Animation,PG,93.0,69.0,7.1,Walt Disney Pictures,18.0,48.0,W,1
407,Frankenweenie,2012-10-04,05 Oct 2012,39000000.0,35287788.0,35287788.0,Animation,PG,87.0,74.0,7.0,Walt Disney Pictures,11.0,49.0,N,1
408,ParaNorman,2012-08-03,17 Aug 2012,60000000.0,107139399.0,55994557.0,Family,PG,92.0,72.0,7.0,Focus Features,19.0,45.0,N,1
409,Wreck-It Ralph,2012-11-01,02 Nov 2012,165000000.0,471222889.0,189412677.0,Family,PG,101.0,72.0,7.7,Walt Disney Pictures,33.0,41.0,N,1
410,Anna Karenina,2012-09-06,07 Sep 2012,0.0,68929150.0,12802907.0,Drama,R,129.0,63.0,6.6,Focus Features,31.0,51.0,W,1
411,Life of Pi,2012-11-20,21 Nov 2012,120000000.0,609016565.0,103500000.0,Adventure,PG,127.0,79.0,7.9,20th Century Fox,78.0,129.0,W,4
412,Skyfall,2012-10-25,09 Nov 2012,200000000.0,1108561013.0,299300000.0,Action,PG-13,143.0,81.0,7.8,MGM,65.0,119.0,W,2
413,Mirror Mirror,2012-03-15,30 Mar 2012,85000000.0,183018522.0,64933670.0,Adventure,PG,106.0,46.0,5.6,Relativity Media,2.0,8.0,N,1
414,Snow White and the Huntsman,2012-05-30,01 Jun 2012,170000000.0,396600000.0,155081785.0,Adventure,PG-13,127.0,57.0,6.1,Universal Pictures,13.0,31.0,N,2
415,Five Broken Cameras,2011-11-23,Not Listed,0.0,0.0,108541.0,War,NOT RATED,94.0,78.0,8.0,Kino Lorber Films,18.0,6.0,N,1
416,The Gatekeepers,2012-07-09,14 Mar 2013,0.0,0.0,2408553.0,Documentary,PG-13,101.0,91.0,7.6,Sony Pictures Classics,7.0,10.0,N,1
417,How to Survive a Plague,2012-09-20,08 Nov 2013,0.0,0.0,122665.0,Documentary,NOT RATED,110.0,86.0,7.6,Sundance Selects,13.0,19.0,N,1
418,The Invisible War,2012-01-20,20 Jan 2012,0.0,0.0,66167.0,Crime,NOT RATED,93.0,75.0,7.6,Cinedigm,10.0,13.0,N,1
419,Searching for Sugar Man,2012-06-30,26 Jul 2012,0.0,0.0,3100000.0,Documentary,PG-13,86.0,79.0,8.2,Sony Pictures Classics,39.0,30.0,W,1
421,The Shawshank Redemption,1994-09-23,14 Oct 1994,25000000.0,28341469.0,0.0,Drama,R,142.0,80.0,9.3,Columbia Pictures,19.0,32.0,N,7
422,Kon-Tiki,2012-08-24,26 Apr 2013,16600000.0,0.0,1511798.0,Adventure,PG-13,118.0,62.0,7.2,The Weinstein Company,12.0,13.0,N,1
423,Dr. No,1962-10-04,07 Oct 1962,950000.0,59600000.0,0.0,Adventure,PG,110.0,78.0,7.3,United Artists,1.0,4.0,W,1
425,Hitchcock,2012-11-22,14 Dec 2012,0.0,23570541.0,6002708.0,Drama,PG-13,98.0,55.0,6.8,Fox Searchlight Pictures,4.0,28.0,N,1
426,The Hobbit: An Unexpected Journey,2012-11-26,14 Dec 2012,250000000.0,1021103568.0,303001229.0,Adventure,PG-13,169.0,58.0,7.9,Warner Bros.,10.0,72.0,N,3
